Source,Predicate,Target
http://example.org/fraud#Transaction_T005,http://example.org/fraud#transactionType,Credit
http://example.org/fraud#Device_D032,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#Transaction_T028,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A033
http://example.org/fraud#Merchant_M010,http://example.org/fraud#category,Fashion
http://example.org/fraud#Transaction_T076,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#User_U010,http://example.org/fraud#email,gregory60@logan.com
http://example.org/fraud#Transaction_T053,http://example.org/fraud#amount,235.82
http://example.org/fraud#Device_D013,http://example.org/fraud#deviceType,Smartphone
http://example.org/fraud#User_U022,http://example.org/fraud#dateJoined,2025-01-24T00:00:00
http://example.org/fraud#User_U013,http://example.org/fraud#address,"449 Mccall Flats, South Lee, WI 80762"
http://example.org/fraud#Account_A037,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Account
http://example.org/fraud#Account_A090,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U090
http://example.org/fraud#Account_A097,http://example.org/fraud#accountStatus,Inactive
http://example.org/fraud#User_U033,http://example.org/fraud#email,theresaramirez@hotmail.com
http://example.org/fraud#User_U014,http://example.org/fraud#email,paula47@chang-phillips.net
http://example.org/fraud#User_U065,http://example.org/fraud#address,"65480 Billy Green Suite 538, Bryanborough, VA 95785"
http://example.org/fraud#Device_D050,http://example.org/fraud#deviceType,Smartphone
http://example.org/fraud#Transaction_T051,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#User_U005,http://example.org/fraud#email,nmckenzie@turner.com
http://example.org/fraud#Account_A053,http://example.org/fraud#balance,2313.95
http://example.org/fraud#Account_A094,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U094
http://example.org/fraud#User_U026,http://example.org/fraud#phone,036.915.9633x1519
http://example.org/fraud#User_U038,http://example.org/fraud#dateJoined,2025-01-09T00:00:00
http://example.org/fraud#Transaction_T018,http://example.org/fraud#timestamp,2025-02-08 15:42:46
http://example.org/fraud#Transaction_T005,http://example.org/fraud#amount,3574.29
http://example.org/fraud#Account_A008,http://example.org/fraud#accountType,Savings
http://example.org/fraud#Merchant_M019,http://example.org/fraud#category,Electronics
http://example.org/fraud#Transaction_T066,http://example.org/fraud#atMerchant,http://example.org/fraud#Merchant_M015
http://example.org/fraud#Account_A033,http://example.org/fraud#accountStatus,Inactive
http://example.org/fraud#Transaction_T011,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#Device_D084,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#Account_A043,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U043
http://example.org/fraud#Transaction_T093,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#Account_A066,http://example.org/fraud#accountStatus,Active
http://example.org/fraud#Transaction_T082,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#User_U026,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#Transaction_T009,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#Transaction_T073,http://example.org/fraud#amount,95.44
http://example.org/fraud#Account_A056,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U056
http://example.org/fraud#User_U012,http://example.org/fraud#dateJoined,2025-01-11T00:00:00
http://example.org/fraud#Transaction_T059,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A004
http://example.org/fraud#Device_D082,http://example.org/fraud#deviceOS,Windows
http://example.org/fraud#Transaction_T053,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A018
http://example.org/fraud#User_U010,http://example.org/fraud#name,Kelly Norton
http://example.org/fraud#Account_A098,http://example.org/fraud#accountStatus,Active
http://example.org/fraud#User_U072,http://example.org/fraud#dateJoined,2025-01-15T00:00:00
http://example.org/fraud#Merchant_M008,http://example.org/fraud#name,"Quinn, Pham and Ortiz"
http://example.org/fraud#Account_A082,http://example.org/fraud#accountType,Checking
